Job Role,Industry Size,Duration ,Rating Overall,Review Title,Overall,Pros,Cons
Customer specialist,"Real Estate, 11-50 employees",Used the software for: 1-2 years,3,"""Hard to learn, easy to use""","Overall good experience using Azure, unlock its potential in the cloud","It comes with great backup tools, ideal for cloud and remote work",It could include an easier sharing option and cloud storage
Scholar Trainee,"Information Technology and Services, 10,001+ employees",Used the software for: I used a free trial,4,"""Azure product review""","The azure portal is the main console where we can access all the apps and manage all the services on one page. It is a cloud computing platform managed by Microsoft. We can start a free trial at no cost. Azure data bricks, azure storage, and all azure product services are very good to use.Security and privacy is very foundational in azure.As it contains low cost like whatever you use you can pay for it such as pay as you go model.","Usually, bugs are available in the apps which can cause some time to manage. Need to improve the UI interface and Configuration of Vm to groups is difficult to do. It is most compatible with window operating system.Performace is ofen overstated.",
Junior recruiter,"Staffing and Recruiting, 501-1000 employees",Used the software for: 1-2 years,4,"""Azure Cloud Platform""","Could create simple projects, easy to use, Easy to understand","Easy to use, Offers scalability, provide data security, provides high availability","Expensive, Requires management and platform expertise"
Developer,"Marketing and Advertising, Self-employed",Used the software for: Less than 6 months,5,"""Microsoft Azure is very good for developers. """,Good day,I use Microsoft Azure's Virtual Machine to depoy my applications and it is very good. And I use Microsoft Azure's Api in my applications. And I develop a search engine and I use Microsoft's Bing Search Api and it works very good. I like Microsoft Azure.,I can't found any difficulty or problem while using Azure.
Senior Software Engineer,"Biotechnology, 51-200 employees",Used the software for: 1-2 years,5,"""A trustful platform""",I have used Microsoft Azure in my previous company. It is a trustful platform. It has well designed interface and capacity.,"I do not like the word ""Azure"" because it is hard to pronounce it.",
Junior Project Manager,"Computer Software, 51-200 employees",Used the software for: 6-12 months,4,"""Surprisingly easy to use""","I like the layout as it's very easy to use, even for people like me who don't use it often and are not cloud engineers. I use it for checking customer's disk sizes and ordering Reserved Instances and it's easy to get the information you need once you know where you're looking for.",It has so many options sometimes it's easy to let lost.,
Marketing Analyst,"Marketing and Advertising, Self-employed",Used the software for: 6-12 months,4,"""Azure, easy solutions for difficult problems""","Azure has multiple purposes, it can make your work much more productive, and allow you to express complex ideas in different areas.","Azure lets you deploy web apps in an easy manner. When your client requires complex web page building, Azure brings great support and platforming.",Azure might not be accesible to everyone due to pricing and technicalities.
Technician,"Financial Services, 501-1000 employees",Used the software for: 6-12 months,4,"""Review for Microsoft Azure""",I use it to navigate the list of employees to make changes such as adding or removing rights.,The product is easy to use because it looks a lot like the versions that we had to install in console before.,"There are a lot of options, so it's not always easy to find them through the webpage. There is also slowness because of the Cloud that can occur."
"Events Services, 1-10 employees",Used the software for: Less than 6 months,,4,"""effective cloudc omputing software """,Azuro provides one-stop cloud storage to all your Microsoft based projects. Its effective integration facilitates for smooth functioning and transferring of data.,Its integration to multiple Microsoft based software helps users to transfer their data immediately.,"Being a Microsoft product, installing and configuring the software for a first-time user is very confusing compared to other Softwares in the market."
Dev Team BossMan,"Information Technology and Services, 1-10 employees",Used the software for: Less than 6 months,1,"""Azure for DevOps""",We've been analyzing different approaches to set up a DevOps environment for CD/CI and after consulting with a partner company we've opted for AKS.,"It has a lot functionality and that is very important when developing applications.
Everything is at the distance of a click.","To much functionality can be overwhelming.
Can be very expensive.
A big learning curve.
Might require the help of consultants to set everything up."
"Oil & Energy, 10,001+ employees",Used the software for: 1-2 years,,5,"""Azure is great. """,Azure has a very simple to use and intuitive interface that works really fast. Microsoft provides a solution that is very efficient also for distributed services.,"Unfortunately, Azur is very expensive and technical support can be improved.",
Senior Technical Instructional Designer,"Computer Software, 1001-5000 employees",Used the software for: 1-2 years,4,"""Azure is great for spinning up VMs""",We use this to create training VMs for our software so we can create training videos or train customer in instructor-led sessions.,I love that I can quickly create new VMs for use in our training environment.,"It was a little confusing at first, but I've figure it out now."
"Computer Software, 5001-10,000 employees",Used the software for: Less than 6 months,,3,"""Azure Review""",We have started using it for deployment of  all .NET based applications and SQL Server in Azure environment. i think its good start and we see many more positives in near future in Azure,"Good  front-end management interface
Because Microsoft platform, Azure makes easier to learn
Active Directory integration is great as our all services are using AD
Easy data migration makes it easier to integrate into the other systems
It's quick to spin up new servers and start the project work","Should  be more affordable as like others
Technical support is not upto the mark
We can not build own servers
Need More details in dashboard to analyze the things quickly 
Much more to do in terms of having different functionalities
Need more help document and Knowledge sharing platforms"
Network Architect,"Higher Education, 10,001+ employees",Used the software for: 1-2 years,3,"""Networking is a little convoluted""",Being able to use the cloud for quickly spinning up machines as needed is where things are going and has its benefits.,I am coming from a networking standpoint and the settings were rather convoluted.  Their documentation is also so messed up that it often contradicts each other.,
Full Stack Developer,"Computer Software, 11-50 employees",Used the software for: Less than 6 months,5,"""All-in-one integration""","Worked well so far, experienced very little downtime.","Azure does a great job integrating a lot of necessities into one platform. Git, Agile, CI/CI, etc.. Once setup it all works really well.","The tools in which to use Azure, like Azure DevOps, can be tricky to learn. It's similar to that of Bitbucket or Github, but tries to be different in some ways which are good and bad. Small learning curve needed."
"Computer Games, 11-50 employees",Used the software for: 6-12 months,,5,"""We need backup and it has arrived just in time""",This program has helped users and saved company thousands of dollar by reducing labour cost. What use to take days with the tech guys now we can do it ourselves within a couple of days. There are many features that are already included that doesn't required us to pay for more,The pricing can still be pricy and the complex of this product takes a while to learn. Sometimes it is unresponsive and slow.,
501-1000 employees,Used the software for: 1-2 years,,4,"""Gettin it done.""",By using Azure we are able to free up so many resources that would otherwise be tied up in hardware.,"What you get for is not always clear, for different levels of the products.  Significant trust must be extended to the sales engineers.",
Digital Content Specialist,"Accounting, 501-1000 employees",Used the software for: 1-2 years,4,"""Get servers going quickly""",I used Azure to get a website running quickly. I was able to spin up a site and get it off the ground. There were a ton of options and things to optimize.,"When I used it, there was a confusing blade UI that kept some critical options hidden a few menus down and was more than a headache.",
Service Desk Manager,Unspecified,Used the software for: Less than 6 months,4,"""Blown away by the robust set of tools, intuitive GUI, and costs. """,Azure offers a comprehensive set of cloud based IT tools. Implementing  endpoint management is much easier than with hardware servers.,Their times when you have to leave the and enter an additional interface in order complete tasks. An example is a way Office365 is implemented. You have to use Microsoft's own multi-factor authentication app. There should be options as there is limited to synchronizing one device.,
"Oil & Energy, 1-10 employees",Used the software for: I used a free trial,,4,"""Azure """,Aplicativos web e mÃ¡quina virtual e serviÃ§os de hospedagem,Alguns recursos de IA poderiam ter uma interatividade mais simplificada.,
tutor,"Education Management, Self-employed",Used the software for: 6-12 months,,"""Mcrosoft Azure is Excellent in business""",my Overall experience in Microsoft Azure is really nice,the product is easy to use and detailed,"All are very good and working well, easy to use"
Customer Care Assistant,"Farming, 501-1000 employees",Used the software for: 6-12 months,5,"""Buena""",FÃ¡cil comprensiÃ³n de las opciones en la App.,"Incidencias puntuales, que se solucionan en un periodo breve.",
Consultant Developer,"Information Technology and Services, 51-200 employees",Used the software for: 1-2 years,4,"""Azure a good option""",Azure gives us a lot of options for services and we can find full documentation for different services. I recommend Azure cloud because you can have a free tier and playground with it and if you are looking for a robust and high-quality services Azure has it,The cost of resources is hard to determine so this could be a challenge for small organizations. Azure could improve their user interface but the cloud platforms have a lot of options.,"amazon web services, google cloud platform"
System Engineer,"Information Technology and Services, 11-50 employees",Used the software for: 1-2 years,4,"""Microsoft Azure""",Ease and quickness of deployment. Speed of changes.,"Online GUI is basic and could be enhanced. Additionally, AD is needed if the environment is more complex.",
Principal Analyst,"Information Technology and Services, 1001-5000 employees",Used the software for: 1-2 years,4,"""Reliable cloud computing""",Code execution is fast. Friendly GUI makes the experience smooth.,"In Azure data storage, sometimes an error is thrown while trying to download files from the browser.",
Environmental Engineer,"Environmental Services, 10,001+ employees",Used the software for: 1-2 years,3,"""Secure but Somewhat Hard to Use""",Azure keeps login secure but it also can complicate the login process which can be frustrating.,This software helps to keep logins secure.,The authentication doesn't always work on the first try.
Deputy Manager,"Financial Services, 1001-5000 employees",Used the software for: 6-12 months,4,"""Cloud Service - Very Volatile""","Compact, Customizeable, great customer support and good documentation is available to understand better","Services are pay as you go type. Hence, the product helps the users to select only that particular service which they require and pays for the same.","Some services are highly priced compared other to similar service providers. Hence, the pricing is an issue while the features are not."
Software QA Engineer,"Information Technology and Services, 11-50 employees",Used the software for: Less than 6 months,4,"""Amazing tool for cloud services""",I have a great experience with Azure and my colleagues at work really benefit from it,I really like the user interface and all the functionalities it can provide you on software development,"I think it's a bit hard to use some of the filters when you are trying to find an specific resource, but this is minor compared to the capabilities that it offers"
System Administrator,"Health, Wellness and Fitness, 51-200 employees",Used the software for: Less than 6 months,5,"""Microsoft Azure""","So far my experience has been similar to previous environments. Creating and managing users, better security and an overall more user friendly experience.",Microsoft Azure is similar to other cloud based platforms but I love the interface compared to the others.,The migration was a little complex but with team work we were able to complete the transition successfully!
IT Manager,"Marketing and Advertising, 51-200 employees",Used the software for: I used a free trial,3,"""Great Product for Sys Admins""",Azure can revolutionize the way IT deploy Domain controllers. Moreover it can simplify the work of Sys Admins.,Its a feature rich product with loads of new things. I personally use the Azure AD and Intune and the features are great.,The average time to load is sometimes slow. Since its a cloud based app the screen shows loading even on internet connection of speed 80 Mbps.
"Information Technology and Services, 51-200 employees",Used the software for: 6-12 months,,4,"""Review on Azure""",Azure is overall good but it could improve better with new additional features.,Backup solutions are amazing. can do alot of stuff on site very easily with the help of Azure. Communication between resources could be created very easily. Even a new user can use it easily.,the new update is a bit complicated to use. The VM is hard to use.
Industrial Accountant,"Accounting, 10,001+ employees",Used the software for: 2+ years,5,"""Excellent platform for large projects""","We test PaaS structured applications in our corporation using Azure as a platform. We experienced that software is very functional, user- friendly and reliable. Moreover, together with the subscription, Azure provides a sufficient amount of free space in the cloud.","In some cases, servers require extra amounts. So double check pricing before visualizing your service usage.",
Director,"Education Management, 51-200 employees",Used the software for: 6-12 months,2,"""Hosting is not for beginners""","We use Microsoft Azure as a hosting for the official college site. Using the service set up the deployment in GitHub, learned how to scale. Pleases payment upon use.","It seemed to me that this is a very complex service, in the tools of which we still have to understand and understand. Before use, we had to hire a development team to help set up Microsoft Azure.",
Senior Engineer,"Computer Networking, 1001-5000 employees",Used the software for: I used a free trial,4,"""Good cloud platform with lot of potential""","Azure is good for application developers as it provides build environment and tools and security offerings.
Azure has native support for hybrid apps to take advantage of data centers, service providers end and azure itself.","Azure development and support requires well trained and experienced professionals, and the learning curve is not easy compared competitor like AWS.",
Pre-Doctoral Research Fellow,"Higher Education, 5001-10,000 employees",Used the software for: 1-2 years,4,"""Awesome tool for cloud based analysis""",Our laboratory has been using Azure for all our cloud-based analysis and data services.,Azure is very stable and can be reliably used for cloud-based real-time analysis.,It's a little bit on the expensive side to run HDinsights or GPU analytics.
"Computer & Network Security, 5001-10,000 employees",Used the software for: 2+ years,,5,"""Fully Featured Cloud Computing Platform""",I've more than 3 years experience with Microsoft Azure. It's really fast. There are several ways to do things. Choose the best way to which is suitable for you. Dashboards are really helpful and recommend for beginners as well.,Able to get lots of features for the low cost. It's very easy to set up new servers and scalability was great. Customer support is good.,Console and dashboard are a little bit confusing.  Other than there's no negative point for me.
Product Manager,"Internet, 5001-10,000 employees",Used the software for: Less than 6 months,5,"""Coding for companies""",Microsoft Azure is the creme of the crop for companies who do large scale coding. It's fairly easy to see why most companies such as mine use Azure. The ability to jump between code sources is super useful.,I am not too sure what is necessarily a Con for azure but i think what could be improved is the functionality for group projects and releasing code into a test prod zone.,
"Printing, 1-10 employees",Used the software for: I used a free trial,,3,"""From a new user perspective""","I wanted to develop a mobile app using Microsoft PowerApps that used an SQL database as well as image hosting.  Microsoft Azure made this really easy to get going fast.  When you think about deploying something like that, I always had visions of hosting my own servers, but not any more, Azure is the way to go.  Let them handle the hardware and installing new functionality like SQL server or BLOB hosting is a breeze.  And it's really inexpensive to get started as well.","As with most applications of this sort, there is a LOT of options to sort through.  If you stick to the basics then it can be pretty streamlined, but if you start looking at everything it can feel like going down a rabbit hole.",
"Information Technology and Services, 11-50 employees",Used the software for: 6-12 months,,4,"""No need for hardware procurement and maintenance""",Everything is available VIRTUALLY..No need of procuring hardware and then have a dedicated team in place for upgrades and patch management. No need of setting up costly infrastructure for server rooms. You have all the services available for any area in the organisation on the same platform.,I would love it if the services came a little cheaper,
Gestor de Sistemas,"Health, Wellness and Fitness, 11-50 employees",Used the software for: Less than 6 months,4,"""Muy bueno""",Su implementaciÃ³n completa con sus funcionalidades,Su precio es bastante elevado segÃºn en quÃ© casos,
"Civil Engineering, 501-1000 employees",Used the software for: 6-12 months,,4,"""The Comprehensive Cloud Platform for Enterprises""",Offers a comprehensive suite of tools and services for businesses of all sizes.,"Azure is a complex platform with a steep learning curve, which can make it challenging for some users to get up and running quickly.",Its strong integration with other Microsoft products and services.
software engineer,"Information Technology and Services, 501-1000 employees",Used the software for: 6-12 months,3,"""A good reliable cloud solution""",One of the best reliable cloud solutions for our businesses to rely on. Great flexibility and infrastructure that has enabled us to adopt new technologies quickly. However the costs for small business can be difficult.,you can integrate many different services in one platform,Cost and subscription modelUser interfacepoor documentation
Makeup artist,"Apparel & Fashion, Self-employed",Used the software for: Less than 6 months,3,"""Software review for Microsoft Azure ""","Azure has a strong cyber security control, it is app-friendly it works well with the rest of the Microsoft family. Azure has proven to be an easily scalable platform that helps grow ur business .","Azure is not free, and it's quite expensive, it is not available in every country.",
ScolaritÃ©,"Education Management, Self-employed",Used the software for: Less than 6 months,,"""Mon avis personnel """,En gÃ©nÃ©ral le logiciel est facile d'utilisation et je suis satisfaite,Le cloud celon moi est le service le plus important et c'est facile a utilisÃ©,Le logiciel est intÃ©ressant mais ci possible d'avoir la possibilitÃ© de consulter c'est budget ce serait bien
Nurse,"Hospital & Health Care, 501-1000 employees",Used the software for: I used a free trial,5,"""Microsoft Azure risks lesser""",Microsoft Azure is a dependable and accessible program in my laptop. It is secured and life changing moment.,Microsoft Azure lets me to secure my laptop and apps also files in an effective and efficient way. It performs securely and updates my laptop in a convenient way.,None at the moment. It is safe and organize.
Analista de datos,"Security and Investigations, 11-50 employees",Used the software for: 6-12 months,5,"""El mejor servicio en la nube""",Cuando aprobe la administraciÃ³n de datos y necesitaba crear nuevos servidores en la nube fue imprescindible y muy importe para mÃ­ ademÃ¡s es muy fÃ¡cil de usar.,La opciÃ³nes de computaciÃ³n en la nueva no estÃ¡n valoradas como tal y creo que las personas deberÃ­an conocer mejor este software,
Customer support executive,"Health, Wellness and Fitness, 51-200 employees",Used the software for: 1-2 years,5,"""Website building and management is very easy with Azure""",Good,Website building assistance from Azure is very good and really helpful,None as such. All the features are easy to use
Student,"Education Management, Self-employed",Used the software for: Less than 6 months,5,"""A great place to start""","Overall, if you are someone who has taken the certification courses, using this software will be a piece of cake without any doubt. It will be a hassle free experience. Though I personally feel that the cost is something to consider as it is relatively higher than few of its counterparts.","Firstly, service wise it is one of the best without any doubt. Scaling is also very much feasible. You can scale the computations in a few clicks.","I feel the cost is a bit too high. Further you will need expertise of the Azure platform which mostly will be gained through the certification courses that they provide. But, its new venture on cloud computing though looks to be promising is also on a higher cost."
"Computer Software, Self-employed",Used the software for: 6-12 months,,4,"""Powerfull cloud sytem, infinite possibility""","With Azure, you have a infinite possibility of services.
I use it for web hosting, and development with VMs.

Customising and sizing","You need to always analyse your cost management, otherwise you can be very surprised by the cost of your product.
It can be very costly rapidly.",
Software Tester,"Computer Software, 501-1000 employees",Used the software for: I used a free trial,3,"""A good for Microsoft based business ""","A great, versatile platform for who looking to get the cloud based services.",Easy to use as we can use cloud services provided by azure for doing Microsoft based buisness and also it is highly available across globe.,"Technical support for azure is not that much great, it is not open source platform means u need to pay for it."
Sr. Technical Lead,"Computer Software, 10,001+ employees",Used the software for: 6-12 months,3,"""Best cloud service""","I would recommend Azure to someone who wants to stick with for a very long time, as there comes a learning cycle with it.",Azure has grown a lot with lots of better features and services for someone looking for a cloud solution.,"Azure works very specifically with the windows solutions and has lots of restrictions. If they grow generic, I would say it will have good competition to others."
"Computer Software, 10,001+ employees",Used the software for: Less than 6 months,,4,"""Microsoft Azure Review ~6 months of use""","Overall, it's positive but there are lots of dependencies to worry about","It's relatively easy to setup and deploy, I had the help of my company's SRE's for this but can figure it out myself if necessary","For Azure's application insights, there are many different builds that require different dependencies which can cause a lot of errors."
Business System Analyst,"Insurance, 10,001+ employees",Used the software for: 1-2 years,4,"""Great cloud program""",The ui is customized to your liking and offers great functionality based on support plan.,I do not like there is sometimes latency on highly used programs.,
Communications Manager,"Transportation/Trucking/Railroad, 10,001+ employees",Used the software for: 2+ years,5,"""Trustable Cloud Software""",It is a great tool that does exactly what it is supposed to do for Cloud based services.,It is a very easy to use cloud software that is made by Microsoft so you know that is it reliable and compatible with most computer systems.,It is a little tricky to use some of the more advanced features and the amount of privacy involved with using the software is questionable.
"Computer Software, 10,001+ employees",Used the software for: 6-12 months,,4,"""Azure review by developer""",It is good platform learn overall but one would take time to adapt it.,"Kubernates support and containerization support for microservices. Azure functions, postgres support with encryption.","Difficult to adapt, learning material is not sufficient at times. Trial period has some limitations"
csc tech,"Hospitality, 501-1000 employees",Used the software for: 1-2 years,5,"""good software""","Has windows, Linux and container compatibility.  has a good frontend management interface.",Its very pricey.  would be a lot better if they dropped the price down a bit.,
Software Developer,"Computer & Network Security, 10,001+ employees",Used the software for: 1-2 years,4,"""Cloud provider with a lot of options""",Hosting several node servers for internal use.,"The options available, like Node apps, SQL servers, VMs",The pricing can get a little high when not managed properly
Middle School Teacher,"Primary/Secondary Education, 501-1000 employees",Used the software for: 6-12 months,4,"""Unique tool""","With Azure, I can quickly and easily add virtual servers to my network, as well as simply scale and store data. It integrates perfectly with Visual Studio and many other third-party products.",It was only after a long study that I began to use the platform effectively. Limited number of available backups per day. Much slower in the Firefox browser.,
Fraud Prevention Coordinator,"Luxury Goods & Jewelry, 51-200 employees",Used the software for: 1-2 years,4,"""Azure: Good tool""",I like it also because it's well integrated with other Microsoft products.,nice to manage multiple different data which remains accessable for different users.,Unfortunately it runs a bit lower than expected.
Senior Publisher Manager,"Computer Software, 201-500 employees",Used the software for: 6-12 months,4,"""Easy to search for features by keywords""","I like the ability to customize notifications and make configurations. There is a drop-down menu that allows me to conveniently search for functions, as well as existing resources by keywords.",Copying is too slow. Sometimes it is difficult to search for errors that appear. Online backups can be performed only twice per day.,
Customer Success & Community Manager,"Education Management, 11-50 employees",Used the software for: 1-2 years,3,"""Learn Analytics and Machine Learning with Azure""","Personal experience is ""very good"", I highly recommend Microsoft Azure","We use Azure and its competitor for our Analytics and Machine Learning services/products. Great suite of apps, features and tools that can easily be learned on the job without prior technical knowledge","Although it is starting to become a trend (adapted by Microsoft Azure), their knowledge base and academy need to be organized by competencies (job roles) and not by skills category only. When I am new to a topic I will research based on what I don't know about the job role."
Reviewer,"Research, Self-employed",Used the software for: Less than 6 months,5,"""Very Good Product Must Have for any household!""","My experience has been great overall, the only issue would be getting more apps available.","Microsoft is Easy to use, convenient, and functionally fun!
I enjoy using far better than any other system. Great look and apps, as well as other setting etc, are easy to find.",There is nothing to not like about Azure Microsoft! It is clean fun and friendly!
Specialist sales,"Retail, 5001-10,000 employees",Used the software for: Less than 6 months,4,"""The best way to manage a business easily and very good results""","Wow, the experience has been really good I think the expectations have been met and it makes the company feel a little calmer about the files","Microsoft Azure is a software that offers a large number of advantages for companies, you can create a variety of backup copies of our information to be calm at all times which is fundamental for any company, that is to say in a certain way this software allows save time doing all that work and money when implementing other people to do the process","I think the only disadvantage of Azure is the payment that must be made for using the software, which is something that really is worth it and is indispensable, perhaps should offer better payment options and packages"
PR / Marketing Manager,"Marketing and Advertising, 501-1000 employees",Used the software for: 6-12 months,4,"""Great solution when creating applications""","Azure's rather extensive capabilities allow us to bring many ideas to life. Using this tool, we are able to create most of the software that is required for our company.","After drastic updates to the interface, we had difficulties with using Azure, because after implementing them, some of the necessary options were no longer displayed.",
"Computer Games, 1-10 employees",Used the software for: Less than 6 months,,2,"""Azure is IMPRESSIVE if you know what you're doing""","Amazing server solution, it wound up being more than I really needed when I checked it out, but we are reaching a point in our business where I am most likely going to start using Azure as our primary server solution.","I couldn't believe how many advanced server features and options Azure has under the hood. It was like nerd candyland testing out the different server configurations they have available, and everything runs very smoothly and quickly.","Not so much a dislike as a knowledge requirement - If you do not understand server technology, you will be completely and utterly lost trying to navigate Azure. They have it set up very intuitively if you know what you're doing and speak the language, but if you don't, you'll cost yourself a lot of money and stress."
System Administrator,"Computer Software, 11-50 employees",Used the software for: 6-12 months,,"""Cloud-tools By Microsoft""","Microsoft provides all the cloud infrastructure services in the form of Azure. You can run instances, provide storage, manage access all using Azure panel. It is very simple and easy to use. Anyone can learn it quickly. You will only pay for the services which you will be using.",Its services are good but are immature when compared with AWS.,
Consultor SAP Basis Netweaver,501-1000 employees,Used the software for: 1-2 years,4,"""I've been worked with azure implementing systems, i had a good experience.""","I good experience with could services, very easy to use, and good answer from customer services of azure systems.","Good hosting and cloud service, world wide level, very easy to use, and its easy to create new virtual machines with it, it has a ultra high speed internet connection and 100% availability. Also the customer services is very good, very fast to get an answer and very good protocol for it.","With this software, you have to take care, because if you are not using the system, and don't put it off, it will keep charging you money, so you have to take care."
Unspecified,Used the software for: 6-12 months,,4,"""One of the largest cloud platforms""","It is a highly flexible platform that allows you to share the same platform used by Skype, Office 365, Bing and Xbox, offering continuous technical support and timely supervision of the state of the service.","This tool is a success more than Microsoft, I could only say that it has the disadvantage of offering few options for external access to data",
Full Stack Developer,"Telecommunications, 10,001+ employees",Used the software for: Less than 6 months,5,"""One of the best cloud platform""","We are using Azure for our system in Canada. The cloud solution help us to get better performance for all of our customer across Canada. With .Net Core and all the feature avalaible to us, We are making better system for our customers.",Azure is costly and maybe not suitable for small system but can be great for startup if you can have it.,
Director of Mobile Solutions.,501-1000 employees,Used the software for: Less than 6 months,2,"""Azure is a strong contender in the SAAP space with tons of tools""",Lots of different offerings for everything from file storage to VPS hosting. Integrates directly in Visual Studio to seamlessly push code and databases into your Azure instance.,Very difficult to setup and use. The pricing seems to be quite a bit higher than other competing SAAP platforms such as Amazon AWS and Google Cloud Platform.,
Networking Manager,"Telecommunications, 11-50 employees",Used the software for: Less than 6 months,3,"""Very good, platform if you need to rent cloud VMs for any need your company have""",Is complicated but very robust and realiable.,"You can set up VM fast but not very easy, windows VM very easy, Linux, CentOS not so easy, sometimes is better to use a power shell script than trying to navigate for a little confusing interface. you you can set dynamic or static external/internal IP addresses, upgrade cores, RAM or HDD easy. is very very stable, never ever had a down time.","Backups are extra, the interface is overwhelming and confusing. if you have to make a very custom kind of VM you can but is a little hard, maybe the learning curve is difficult but the service is great. if you have a problem costumer support is good but have to indicate the severity high so they help you the same day."
Application consultant,Unspecified,Used the software for: 6-12 months,4,"""High Availability Infrastructures incredible reliability. Microsoft Azure has a strong focus on secu""","You can increase or decrease the amount of servers you use, allowing you to tailor your service to your businesses needs.
You do not have to worry about backing up data or maintaining servers as Microsoft will deal with these issues for you.
An Azure cloud service offering also provides developer and administrative access tools, which allow IT teams the flexibility to create new applications and customizations.","The costs can be quite high if a company must significantly up the use of Azure servers.
Infrastructure as a service (IaaS) is essentially remotely accessing azure servers and hardware.
Azure requires expertise to ensure all moving parts work together efficiently.",
Digital Marketing Director,"Marketing and Advertising, 1-10 employees",Used the software for: Less than 6 months,2,"""I used Azure for all the companies VM creation and some building & running web-based applications. """,Used it for VM creation and running web-based applications that we create for our clients.,Being a Microsoft product there is a lot of integration and helpful ways to use it. It is a very powerful tool and comes with Microsoft 350 business.,It is not easy to use at all and takes a large learning curve. And does not offer all the features of other VM creation tools.
"Computer Software, 51-200 employees",Used the software for: 2+ years,,4,"""Everything a Microsoft shop needs to move to the cloud""","If you're already all in on Microsoft everything you need to go from onprem to the cloud is in Azure, Microsoft's built some really robust tools and services to migrate and operate on the cloud","If you're not a Microsoft shop look elsewhere, not very open source or devops friendly, the number and flexibility of services seems pitiful next to AWS, tech support is VERY hit or miss",
Systems engineer,Unspecified,Used the software for: 6-12 months,5,"""Amazing""","Impressive application deployment capability, global server availability, git support, web apps, multiple programming language support, easy to use with Visual Studio, comprehensive application analytic.","Azure portal is clunky and need a lot of improvement, MySQL deployment where In-App is available but still in beta and sometimes unexpectedly slow.",
Tech Lead,Unspecified,Used the software for: 1-2 years,5,"""Easy to use, comprehensive features, pricey compared to AWS""","Easy to use cloud features. A lot of help and guidelines available.
Great features on cloud based services offering. They have almost all the standard cloud services offered by others.
Wide userbase. Great community those use Azure cloud platform and knowledge base is enriching all the time.",Pricing is expensive than AWS services. For the same or similar services offerings AWS offers cheaper price specially for heavy usages. Windows machines are expensive. No or little provisioning of free tiers for newbies and trial of services available.,
Programmer,"Telecommunications, 1001-5000 employees",Used the software for: 2+ years,5,"""Microsoft's take on cloud computing. At the core of it's business at this point!""",Deploying software on it is very very easy.,Nothing. And I am not much of an enthusiast of MS.,
Cto,"Insurance, 501-1000 employees",Used the software for: 1-2 years,5,"""Azure Absolutely Amazing""",Terrific,Dependability functionality versatilify ease of use power,It is not free.   Minimal learning curve
Software Developer,"Computer Software, 51-200 employees",Used the software for: Less than 6 months,3,"""Azure Review""",+ Integrated with Microsoft ecosystem+ Scalable+ 12 month free useful services,#NAME?,
Agent de production,"Food Production, 11-50 employees",Used the software for: I used a free trial,5,"""Pour le controle des machines """,Pour une premiÃ¨re expÃ©rience je trouve le logiciel top,Sert a contrÃ´lÃ© les machines d'un serveur a un autreProtÃ¨ge le rÃ©seau et garanti la sÃ©curitÃ© des donnÃ©e,Il ya pas de point faible la dessus le seul soucis qu'on puisse avoir c'est juste pour la sÃ©curitÃ©
IT Consultant,"Information Technology and Services, 201-500 employees",Used the software for: 1-2 years,5,"""Seamless integration with other product,  and improved support.""","Ideal for Cloud based users, and easy use","comparatively expensive, but best product, and easy going.",
security engineer,"Media Production, 201-500 employees",Used the software for: 1-2 years,2,"""azure + checkpoint deployment""",we enhanced security features with checkpoint firewalling.,"difficult scripting, sometimes not clear",
intern,"Financial Services, 11-50 employees",Used the software for: I used a free trial,3,"""Know more about microsoft azure""",There are many pros to using Azure. It has a large number of features. The cloud computing of Azure is trusted worldwide and is also very fast.,One of the few cons of using Azure is that it is expensive in nature and also needs a good amount of training before use.,
Functional consultant,"Information Technology and Services, 501-1000 employees",Used the software for: 1-2 years,4,"""Awesome Product!""",Easy to use with variety of features it offers,There is nithing that I dislike about this product,
Freelancer,"Information Technology and Services, Self-employed",Used the software for: I used a free trial,5,"""Azure for coders and no coders""","I am using Free trial now and for free account, they give USD 200 Azure credits with which you could explore. I had used Virtual Machine service, also Azure functions all of which were great. I didn't face a problem while deploying VM or using Azure Functions. I found it very useful and time saving.",The best thing about Azure is that they have detailed instructions about each of their services available in layman's term with examples to anyone who seeks them and one doesn't has to hire an expert to use the services. They also has solutions for almost everything.,"The fact that it is not yet available in most of the esat Asian countries apart from India, and china."
ICT Specialist,"Government Administration, 11-50 employees",Used the software for: I used a free trial,3,"""Microsoft Azure""",Neutral,"Microsoft Azure has quite a number of handy features like security, availability and the global reach is high.","One of the  features I disliked was the user interface, it's very congested and makes it  difficult to locate the different features available"
"Information Technology and Services, 10,001+ employees",Used the software for: 6-12 months,,5,"""Best Cloud Providers Ever""",Azure provides enormous data consistency and backup across the region. Devops is life savers for developers. Totally Loved it.,"Price tier is little high, some SLAs does not give proper business justification and fault tolerance % needs to be increased.",
Supervisor,"Medical Devices, 10,001+ employees",Used the software for: Less than 6 months,4,"""Nube empresarial""",Es una herramienta muy segura para almacenar datos en la nube,"Es una opciÃ³n muy completa de nube empresarial la cual puede ser complementada con diferentes servicios como sms, voz y otras apis",Es un poco difÃ­cil su utilizaciÃ³n si no tienes idea de cÃ³mo configurar las diferentes apis que puedes implementar
